Disease,Contagious,Cause_of_Disease,Medication_Required,Hospitalisation_Needed,Care_Recommendations,Chronic_Condition,Average_Recovery_Time_Weeks
Hyperkalemia,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Fibromyalgia,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Bipolar Disorder,FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Sedatives Poisoning,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Migraine,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Plantar Fasciitis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Priapism,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Gestational Hypertension,FALSE,Hormonal and physiological changes during pregnancy,Medication only under obstetric supervision,No,"Eat iron and calcium-rich foods, stay hydrated, avoid stress and heavy physical activity",Yes,12
Pyelonephritis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Drug Abuse (Cocaine),FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Gout,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Narcolepsy,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Submandibular stones,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Dental Caries,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",No,2
Vitamin B12 Deficiency,TRUE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Testicular Cancer,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Peyronie Disease,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Hepatitis due to a Toxin,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Foreign Body in the Throat,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Stenosis of the Tear Duct,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Lateral Epicondylitis (Tennis Elbow),FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Attention Deficit Hyperactivity Disorder (ADHD),FALSE,"Psychological, neurological, genetic, or environmental factors","Therapy, counseling, or psychiatric medication if prescribed",No,"Maintain healthy routine, sleep properly, avoid stress triggers, eat balanced meals, and engage in mild physical activity",Yes,24
Tuberous Sclerosis,FALSE,Abnormal uncontrolled cell growth due to genetic and environmental factors,"Chemotherapy, targeted therapy, or pain management medication",Yes,"High-protein nutritious diet, regular follow-up care, avoid smoking and alcohol, limit strenuous activity during treatment",Yes,52
Pulmonic Valve Disease,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Pelvic Organ Prolapse,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
"Sedative, Hypnotic, or Anxiolytic Use Disorder",FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Atrial Fibrillation,TRUE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
Asthma,TRUE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",Yes,12
Edward Syndrome,FALSE,"Cardiovascular dysfunction, blocked arteries, or high blood pressure","Blood pressure medication, anticoagulants, or cardiac medication",Yes,"Low-salt diet, avoid fatty foods and smoking, perform light exercise only under medical guidance",Yes,12
West Nile Virus,TRUE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",No,3
Obesity,FALSE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
Hypertension,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Sialolithiasis,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Hyperopia,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Liver Cancer,TRUE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Chalazion,FALSE,"Increased eye pressure, genetics, or age-related degeneration","Eye drops, surgery, or ophthalmic medication",No,"Protect eyes from strain, maintain vitamin A-rich diet, avoid excessive screen time",Yes,12
Hypocalcemia,FALSE,"Various factors including infections, genetics, lifestyle, or environmental triggers",Consult physician; medication depends on severity and diagnosis,No,"Maintain hydration, eat balanced nutritious food, avoid junk food and alcohol, take adequate rest, and avoid strenuous physical activity until recovery",No,4
Viral Warts,FALSE,"Skin irritation, infection, allergy, or autoimmune response","Topical creams, antihistamines, or prescribed dermatological medication",No,"Keep skin clean, avoid harsh soaps and allergens, eat vitamin-rich food, and avoid scratching affected areas",Yes,12
Spondylitis,TRUE,Viral or bacterial infection,Antibiotics or antiviral medication as prescribed by a doctor,No,"Drink plenty of fluids, consume light nutritious meals, avoid oily food, rest adequately, and avoid strenuous activity",Yes,12
