Disease,Symptoms,Medical_Test_Results,Possible_Patient_History,Lifestyle_Factors
Pemphigus,Painful blisters on the skin and mucous membranes,"Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Myofascial Pain Syndrome,"Localized muscle pain, trigger points",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Secondary Glaucoma,Varies depending on the underlying cause,Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms","Reduced lung function tests, abnormal chest imaging, or oxygen saturation changes","History of allergies, smoking, recurrent breathing issues","Smoking, air pollution exposure, poor fitness, allergen exposure"
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Optic Neuritis,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Intracranial Abscess,"Headache, fever, neurological deficits","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Fracture of the Patella,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Cold Sore,"Small, painful blisters on the lips or around the mouth",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Type 1 Diabetes,"Frequent urination, Increased thirst, Weight loss",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Contact Dermatitis,"Itchy, red rash caused by contact with irritants or allergens","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Chronic Migraine,"Recurrent, disabling migraines",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hyperkalemia,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Bipolar Disorder,"Mood swings, manic episodes, depressive episodes",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Sedatives Poisoning,"Drowsiness, confusion, slowed breathing",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Migraine,"headache, nausea, sensitivity to light, visual disturbances",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Priapism,"Persistent, painful erection",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Gestational Hypertension,High blood pressure without proteinuria (preeclampsia),Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Gout,"Intense joint pain, swelling, redness","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Submandibular stones,"Swelling, pain, dry mouth, bad taste",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Dental Caries,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Peyronie Disease,"Curvature of the penis, pain during erections",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Foreign Body in the Throat,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections","Elevated white blood cell count, positive culture, or viral antigen tests",Recent exposure to infected individuals or weakened immunity,"Poor hygiene, inadequate sleep, poor nutrition, crowded environments"
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Biopsy, imaging scans, or abnormal tumor marker results","Family history of cancer, unexplained weight loss, chronic symptoms","Smoking, alcohol use, chemical exposure, unhealthy diet"
Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Pelvic Organ Prolapse,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)",Psychological evaluation and behavioral assessment findings,"Past mental health issues, trauma, stress, or family history","Sleep deprivation, stress, social isolation, substance abuse"
Atrial Fibrillation,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Abnormal ECG, elevated blood pressure, cholesterol imbalance, or imaging abnormalities","History of chest pain, hypertension, smoking, or previous cardiac events","Smoking, high-fat diet, stress, alcohol consumption, lack of physical activity"
West Nile Virus,"Fever, headache, body aches, rash","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Obesity,"Excessive body weight, increased risk of chronic conditions",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypertension,"headache, dizziness, blurred vision",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps",Clinical examination and routine diagnostic tests may indicate the condition,"Previous related symptoms, family history, or underlying health conditions","Poor diet, stress, lack of exercise, smoking, alcohol use, or environmental exposure"
Viral Warts,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","Visible skin lesions, irritation, or positive dermatological examination","Past skin allergies, infections, or family history of skin disease","Poor hygiene, allergen exposure, stress, unhealthy skin care habits"
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","X-ray, MRI, or inflammatory marker abnormalities","Previous injuries, aging-related degeneration, chronic pain","Poor posture, obesity, lack of calcium, excessive strain"
